"MCQ", "Which data structure follows the Last In First Out (LIFO) principle? a) Queue b) Stack c) Linked List d) Tree", "b"
"MCQ", "Which of the following data structures is not linear? a) Array b) Stack c) Queue d) Tree", "d"
"MCQ", "In a binary search tree which child of a node contains a value greater than the node's value? a) Left child b) Right child c) Both children d) No children", "b"
"MCQ", "Which sorting algorithm has the worst-case time complexity of O(n^2)? a) Merge Sort b) Quick Sort c) Bubble Sort d) Insertion Sort", "c"
"MCQ", "Which algorithm is used to find the shortest path in a weighted graph? a) Dijkstra's algorithm b) Depth-First Search (DFS) c) Breadth-First Search (BFS) d) Prim's algorithm", "a"
"MCQ", "Which data structure is typically used to implement a priority queue? a) Stack b) Queue c) Binary Heap d) Linked List", "c"
"MCQ", "Which of the following is not a type of tree traversal? a) Inorder b) Preorder c) Postorder d) Parallelorder", "d"
"MCQ", "What is the time complexity of the best-case scenario for quicksort? a) O(n) b) O(n log n) c) O(n^2) d) O(log n)", "b"
"MCQ", "Which of the following data structures can be used to implement a hash table? a) Array b) Linked List c) Binary Tree d) All of the above", "d"
"MCQ", "Which algorithm is used to find the strongly connected components in a graph? a) Dijkstra's algorithm b) Kruskal's algorithm c) Bellman-Ford algorithm d) Tarjan's algorithm", "d"
"MCQ", "Which data structure is typically used to implement a FIFO queue? a) Array b) Linked List c) Stack d) Binary Tree", "b"
"MCQ", "What is the time complexity of inserting an element into a binary search tree in the worst case? a) O(1) b) O(log n) c) O(n) d) O(n log n)", "d"
"MCQ", "Which of the following is not a stable sorting algorithm? a) Merge Sort b) Quick Sort c) Bubble Sort d) Insertion Sort", "b"
"MCQ", "Which sorting algorithm has the best time complexity in the worst case? a) Bubble Sort b) Merge Sort c) Insertion Sort d) Selection Sort", "b"
"MCQ", "Which of the following is not a type of hash function collision resolution technique? a) Linear Probing b) Quadratic Probing c) Separate Chaining d) Radix Sort", "d"
"MCQ", "Which algorithm is used to find the minimum spanning tree of a graph? a) Dijkstra's algorithm b) Kruskal's algorithm c) Bellman-Ford algorithm d) Prim's algorithm", "d"
"MCQ", "Which data structure uses LIFO access? a) Queue b) Stack c) Heap d) Linked List", "b"
"MCQ", "Which of the following is not a common time complexity notation? a) O(n) b) ?(n) c) ?(n) d) ?(n)", "d"
"MCQ", "Which data structure is not used for searching? a) Array b) Stack c) Hash Table d) Binary Search Tree", "b"
"MCQ", "Which of the following is not a type of graph? a) Directed Graph b) Undirected Graph c) Weighted Graph d) Binary Graph", "d"
"MCQ", "Which algorithm is used to find the longest common subsequence between two sequences? a) Dijkstra's algorithm b) Kruskal's algorithm c) Bellman-Ford algorithm d) Longest Common Subsequence (LCS)", "d"
"MCQ", "Which data structure is used for breadth-first traversal of a graph? a) Stack b) Queue c) Linked List d) Array", "b"
"MCQ", "Which of the following is not an application of a stack data structure? a) Expression evaluation b) Reversing a string c) Implementing function calls d) Shortest path finding", "d"
"MCQ", "Which of the following is not a dynamic programming approach? a) Memoization b) Divide and Conquer c) Tabulation d) Greedy Technique", "b"
"MCQ", "Which algorithm is used to find the shortest path in an unweighted graph? a) Dijkstra's algorithm b) Depth-First Search (DFS) c) Breadth-First Search (BFS) d) Prim's algorithm", "c"
"MCQ", "Which sorting algorithm is not an in-place sorting algorithm? a) Merge Sort b) Quick Sort c) Bubble Sort d) Insertion Sort", "a"
"MCQ", "Which of the following is not a divide and conquer algorithm? a) Merge Sort b) Quick Sort c) Binary Search d) Bubble Sort", "d"
"MCQ", "Which algorithm is used to find the maximum flow in a network flow problem? a) Dijkstra's algorithm b) Ford-Fulkerson algorithm c) Bellman-Ford algorithm d) Prim's algorithm", "b"
"MCQ", "Which data structure uses FIFO access? a) Stack b) Queue c) Heap d) Linked List", "b"
"MCQ", "Which of the following is not an application of a priority queue? a) Huffman coding b) Dijkstra's algorithm c) Prim's algorithm d) Depth-First Search (DFS)", "d"
"MCQ", "Which algorithm is used to find the shortest path between all pairs of vertices in a graph? a) Dijkstra's algorithm b) Bellman-Ford algorithm c) Floyd-Warshall algorithm d) Prim's algorithm", "c"
"MCQ", "Which of the following is not a comparison-based sorting algorithm? a) Merge Sort b) Quick Sort c) Radix Sort d) Bubble Sort", "c"
"MCQ", "Which data structure is used to implement a set efficiently? a) Array b) Linked List c) Hash Table d) Binary Tree", "c"
"MCQ", "Which algorithm is used to find the shortest path in a graph with negative edge weights? a) Dijkstra's algorithm b) Bellman-Ford algorithm c) Prim's algorithm d) Kruskal's algorithm", "b"
"MCQ", "Which of the following is not a type of graph traversal? a) Depth-First Search (DFS) b) Breadth-First Search (BFS) c) Preorder Traversal d) Postorder Traversal", "c"
"MCQ", "Which sorting algorithm has the best average-case time complexity? a) Bubble Sort b) Merge Sort c) Quick Sort d) Insertion Sort", "c"
"MCQ", "Which algorithm is used to find the articulation points in a graph? a) Dijkstra's algorithm b) Kruskal's algorithm c) Bellman-Ford algorithm d) Tarjan's algorithm", "d"
"MCQ", "Which data structure is used to implement undo functionality in text editors? a) Array b) Linked List c) Stack d) Queue", "c"
"MCQ", "Which algorithm is used to find the maximum value in an array? a) Merge Sort b) Quick Sort c) Binary Search d) Linear Search", "d"
"MCQ", "Which of the following is not a property of a binary search tree? a) Left subtree of a node contains only nodes with keys less than the node's key b) Right subtree of a node contains only nodes with keys greater than the node's key c) Inorder traversal results in a sorted sequence of keys d) Height of the left subtree is always greater than or equal to the height of the right subtree", "d"
"MCQ", "Which algorithm is used to find the shortest path between a source node and all other nodes in a graph with non-negative edge weights? a) Dijkstra's algorithm b) Bellman-Ford algorithm c) Prim's algorithm d) Kruskal's algorithm", "a"
"MCQ", "Which of the following is not an application of a binary search tree? a) Symbol Table b) Expression Parsing c) Priority Queue d) Huffman Coding", "c"
"MCQ", "Which algorithm is used to find the maximum subarray sum efficiently? a) Divide and Conquer b) Greedy Technique c) Dynamic Programming d) All of the above", "d"
